Category,Subcategory,Year,All Discharges,Total Dis Category,AMA Discharges,Total AMA Dis Category,AMA Discharges More Than Once,Total AMA Dis >1x Category,Percent of Total Discharges,Percent of AMA Discharges,Percent of AMA Discharges >1x
Expected Payer,Self-Pay or Uninsured,2021,29613,2511370,2033,72274,437,22422,0.011791572,0.028129064,0.019489787
Race/Ethnicity Group,American Indian/Alaska Native,2021,8851,2496991,411,71896,135,22344,0.003544666,0.005716591,0.00604189
Race/Ethnicity Group,Asian,2021,214718,2496991,2405,71896,471,22344,0.085990698,0.033451096,0.021079484
Race/Ethnicity Group,Black,2021,239085,2496991,11735,71896,4656,22344,0.095749244,0.163221876,0.208378088
Race/Ethnicity Group,Hispanic,2021,722622,2496991,18941,71896,5522,22344,0.289397118,0.263449983,0.247135696
Race/Ethnicity Group,Multiracial,2021,28976,2496991,1048,71896,430,22344,0.011604367,0.014576611,0.01924454
Race/Ethnicity Group,Native Hawaiian or Other Pacific Islander,2021,16872,2496991,326,71896,95,22344,0.006756933,0.004534327,0.004251701
Race/Ethnicity Group,Other,2021,102656,2496991,3169,71896,796,22344,0.041111882,0.044077557,0.035624776
Race/Ethnicity Group,White,2021,1163211,2496991,33861,71896,10239,22344,0.465845091,0.47097196,0.458243824
Assigned Sex at Birth,Female,2021,1381134,2512380,25545,72294,6727,22426,0.549731331,0.353348826,0.299964327
Assigned Sex at Birth,Male,2021,1131246,2512380,46749,72294,15699,22426,0.45026867,0.646651174,0.700035673
Admission Type,Elective,2022,414796,2452570,4717,70357,1165,21824,0.169127079,0.067043791,0.053381598
Admission Type,Emergency,2022,1162448,2452570,42227,70357,13873,21824,0.473971385,0.600181929,0.63567632
Admission Type,Urgent,2022,875326,2452570,23413,70357,6786,21824,0.356901536,0.33277428,0.310942082
Age,18-39 Years,2022,615315,2496871,22390,71859,6652,22050,0.246434437,0.311582404,0.301678005
